User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned,Calories_per_Session,Distance_per_Session,Cluster
1,Female,22,Active,Suburban,151,140,728,4.821192052980132,0.9271523178807947,1
2,Male,50,Active,Rural,157,115,523,3.3312101910828025,0.732484076433121,2
3,Male,36,Active,Urban,178,163,795,4.466292134831461,0.9157303370786517,1
4,Female,36,Active,Suburban,155,85,715,4.612903225806452,0.5483870967741935,1
5,Male,34,Sedentary,Rural,95,71,439,4.621052631578947,0.7473684210526316,2
6,Male,41,Sedentary,Suburban,80,60,197,2.4625,0.75,0
7,Female,45,Sedentary,Urban,68,43,309,4.544117647058823,0.6323529411764706,0
8,Male,59,Moderate,Urban,136,133,350,2.573529411764706,0.9779411764705882,2
9,Female,54,Sedentary,Urban,87,50,336,3.8620689655172415,0.5747126436781609,0
10,Female,39,Active,Urban,187,135,702,3.7540106951871657,0.7219251336898396,1
11,Male,56,Active,Urban,179,171,833,4.653631284916201,0.9553072625698324,1
12,Male,33,Moderate,Suburban,107,77,415,3.878504672897196,0.719626168224299,2
13,Female,52,Sedentary,Suburban,71,69,311,4.380281690140845,0.971830985915493,0
14,Male,44,Moderate,Rural,123,86,588,4.780487804878049,0.6991869918699187,2
15,Female,29,Moderate,Rural,101,88,341,3.376237623762376,0.8712871287128713,0
16,Female,45,Sedentary,Urban,86,51,407,4.732558139534884,0.5930232558139535,2
17,Female,18,Moderate,Urban,102,94,291,2.8529411764705883,0.9215686274509803,0
18,Female,56,Sedentary,Suburban,82,70,329,4.012195121951219,0.8536585365853658,0
19,Female,35,Sedentary,Urban,92,47,386,4.195652173913044,0.5108695652173914,2
20,Female,40,Moderate,Urban,111,73,241,2.171171171171171,0.6576576576576577,0
21,Male,39,Active,Urban,158,121,757,4.791139240506329,0.7658227848101266,1
22,Female,21,Sedentary,Rural,67,50,173,2.582089552238806,0.746268656716418,0
23,Male,28,Active,Suburban,185,118,416,2.2486486486486488,0.6378378378378379,2
24,Male,35,Active,Rural,157,100,688,4.382165605095541,0.6369426751592356,1
25,Male,24,Sedentary,Urban,62,60,130,2.096774193548387,0.967741935483871,0
26,Female,38,Active,Urban,199,164,759,3.814070351758794,0.8241206030150754,1
27,Female,52,Moderate,Rural,138,75,471,3.4130434782608696,0.5434782608695652,2
28,Male,54,Moderate,Rural,107,84,488,4.5607476635514015,0.7850467289719626,2
29,Female,47,Active,Suburban,161,136,715,4.440993788819876,0.84472049689441,1
30,Male,34,Moderate,Urban,113,82,502,4.442477876106195,0.7256637168141593,2
31,Female,50,Sedentary,Urban,69,37,284,4.115942028985507,0.5362318840579711,0
32,Female,33,Sedentary,Rural,78,45,219,2.8076923076923075,0.5769230769230769,0
33,Female,32,Active,Suburban,182,162,652,3.5824175824175826,0.8901098901098901,1
34,Male,30,Moderate,Suburban,124,94,273,2.2016129032258065,0.7580645161290323,0
35,Male,56,Active,Urban,185,102,682,3.6864864864864866,0.5513513513513514,1
36,Male,20,Moderate,Urban,132,75,544,4.121212121212121,0.5681818181818182,2
37,Female,41,Sedentary,Rural,81,43,218,2.691358024691358,0.5308641975308642,0
38,Female,40,Moderate,Urban,138,102,361,2.6159420289855073,0.7391304347826086,2
39,Male,18,Moderate,Rural,112,109,274,2.4464285714285716,0.9732142857142857,0
40,Male,49,Active,Urban,185,97,812,4.389189189189189,0.5243243243243243,1
41,Male,50,Sedentary,Urban,66,58,219,3.3181818181818183,0.8787878787878788,0
42,Female,47,Moderate,Urban,108,55,491,4.546296296296297,0.5092592592592593,2
43,Male,19,Sedentary,Suburban,76,43,370,4.868421052631579,0.5657894736842105,0
44,Female,35,Moderate,Urban,123,75,556,4.520325203252033,0.6097560975609756,2
45,Female,47,Sedentary,Urban,97,80,395,4.072164948453608,0.8247422680412371,2
46,Male,35,Moderate,Suburban,120,65,269,2.2416666666666667,0.5416666666666666,0
47,Female,22,Sedentary,Suburban,72,71,253,3.513888888888889,0.9861111111111112,0
48,Female,22,Moderate,Urban,148,76,385,2.6013513513513513,0.5135135135135135,2
49,Female,25,Sedentary,Suburban,83,70,375,4.518072289156627,0.8433734939759037,2
50,Female,26,Moderate,Suburban,116,102,401,3.456896551724138,0.8793103448275862,2
51,Male,49,Moderate,Suburban,120,113,327,2.725,0.9416666666666667,0
52,Female,31,Sedentary,Suburban,53,42,156,2.943396226415094,0.7924528301886793,0
53,Male,30,Active,Rural,173,131,780,4.508670520231214,0.7572254335260116,1
54,Female,35,Moderate,Urban,134,86,603,4.5,0.6417910447761194,1
55,Male,21,Moderate,Rural,130,82,414,3.1846153846153844,0.6307692307692307,2
56,Female,39,Active,Urban,163,98,646,3.96319018404908,0.6012269938650306,1
57,Male,37,Moderate,Suburban,130,84,585,4.5,0.6461538461538462,2
58,Female,32,Sedentary,Rural,94,47,334,3.5531914893617023,0.5,0
59,Male,24,Active,Suburban,188,120,431,2.2925531914893615,0.6382978723404256,2
60,Male,30,Moderate,Suburban,115,70,455,3.9565217391304346,0.6086956521739131,2
61,Male,51,Sedentary,Suburban,56,47,270,4.821428571428571,0.8392857142857143,0
62,Female,58,Sedentary,Urban,71,54,220,3.0985915492957745,0.7605633802816901,0
63,Female,47,Active,Suburban,174,87,576,3.310344827586207,0.5,2
64,Male,22,Active,Urban,170,111,587,3.4529411764705884,0.6529411764705882,1
65,Female,18,Active,Urban,184,115,675,3.6684782608695654,0.625,1
66,Male,48,Sedentary,Suburban,51,49,156,3.0588235294117645,0.9607843137254902,0
67,Male,37,Moderate,Urban,124,80,356,2.870967741935484,0.6451612903225806,2
68,Female,36,Sedentary,Rural,62,59,257,4.145161290322581,0.9516129032258065,0
69,Female,46,Sedentary,Urban,58,48,244,4.206896551724138,0.8275862068965517,0
70,Female,55,Active,Suburban,173,159,700,4.046242774566474,0.9190751445086706,1
71,Female,27,Moderate,Suburban,105,99,439,4.180952380952381,0.9428571428571428,2
72,Female,46,Sedentary,Rural,61,32,304,4.983606557377049,0.5245901639344263,0
73,Female,48,Active,Rural,167,103,560,3.3532934131736525,0.6167664670658682,2
74,Male,28,Active,Urban,186,111,588,3.161290322580645,0.5967741935483871,1
75,Male,40,Moderate,Urban,117,97,417,3.5641025641025643,0.8290598290598291,2
76,Male,47,Moderate,Rural,141,111,334,2.368794326241135,0.7872340425531915,0
77,Female,42,Active,Suburban,183,164,684,3.737704918032787,0.8961748633879781,1
78,Male,33,Moderate,Suburban,102,99,451,4.421568627450981,0.9705882352941176,2
79,Female,40,Moderate,Rural,148,95,691,4.668918918918919,0.6418918918918919,1
80,Female,50,Sedentary,Rural,98,61,484,4.938775510204081,0.6224489795918368,2
81,Female,54,Moderate,Suburban,146,136,630,4.315068493150685,0.9315068493150684,1
82,Male,45,Active,Suburban,190,111,413,2.1736842105263157,0.5842105263157895,2
83,Male,44,Moderate,Urban,103,89,430,4.174757281553398,0.8640776699029126,2
84,Female,23,Sedentary,Rural,50,29,139,2.78,0.58,0
85,Male,55,Moderate,Rural,100,84,420,4.2,0.84,2
86,Female,54,Sedentary,Rural,66,62,230,3.484848484848485,0.9393939393939394,0
87,Female,23,Moderate,Suburban,100,53,268,2.68,0.53,0
88,Male,42,Moderate,Urban,113,106,376,3.327433628318584,0.9380530973451328,2
89,Female,30,Active,Suburban,195,182,800,4.102564102564102,0.9333333333333333,1
90,Female,50,Active,Rural,174,122,543,3.1206896551724137,0.7011494252873564,2
91,Female,50,Moderate,Rural,131,130,311,2.3740458015267176,0.9923664122137404,0
92,Female,42,Moderate,Rural,138,132,492,3.5652173913043477,0.9565217391304348,2
93,Male,31,Sedentary,Rural,96,57,280,2.9166666666666665,0.59375,0
94,Male,57,Sedentary,Rural,89,72,246,2.764044943820225,0.8089887640449438,0
95,Female,58,Active,Suburban,163,107,330,2.0245398773006134,0.656441717791411,0
96,Female,59,Moderate,Urban,143,85,608,4.251748251748252,0.5944055944055944,1
97,Female,55,Moderate,Rural,100,73,277,2.77,0.73,0
98,Male,26,Sedentary,Rural,91,64,195,2.142857142857143,0.7032967032967034,0
99,Male,35,Moderate,Rural,113,100,406,3.5929203539823007,0.8849557522123894,2
100,Male,32,Moderate,Suburban,134,128,456,3.4029850746268657,0.9552238805970149,2
101,Male,21,Moderate,Suburban,118,78,277,2.347457627118644,0.6610169491525424,0
102,Male,51,Sedentary,Rural,93,68,186,2.0,0.7311827956989247,0
103,Female,55,Sedentary,Rural,53,33,183,3.452830188679245,0.6226415094339622,0
104,Male,34,Sedentary,Rural,95,78,289,3.042105263157895,0.8210526315789474,0
105,Male,24,Moderate,Rural,119,74,474,3.9831932773109244,0.6218487394957983,2
106,Female,49,Sedentary,Rural,88,67,332,3.772727272727273,0.7613636363636364,0
107,Male,40,Active,Suburban,191,108,497,2.602094240837696,0.5654450261780105,2
108,Female,37,Active,Rural,160,154,622,3.8875,0.9625,1
109,Female,19,Sedentary,Rural,89,67,354,3.9775280898876404,0.7528089887640449,0
110,Male,38,Sedentary,Rural,70,40,217,3.1,0.5714285714285714,0
111,Male,29,Moderate,Suburban,108,88,515,4.768518518518518,0.8148148148148148,2
112,Male,59,Sedentary,Rural,85,66,184,2.164705882352941,0.7764705882352941,0
113,Male,44,Sedentary,Suburban,94,74,365,3.882978723404255,0.7872340425531915,2
114,Female,27,Active,Urban,163,93,430,2.638036809815951,0.5705521472392638,2
115,Female,25,Active,Suburban,180,94,698,3.8777777777777778,0.5222222222222223,1
116,Male,38,Active,Rural,157,90,482,3.070063694267516,0.5732484076433121,2
117,Female,39,Active,Suburban,166,114,336,2.0240963855421685,0.6867469879518072,2
118,Female,30,Sedentary,Rural,58,39,277,4.775862068965517,0.6724137931034483,0
119,Female,57,Active,Suburban,194,97,850,4.381443298969073,0.5,1
120,Male,29,Moderate,Suburban,131,114,451,3.4427480916030535,0.8702290076335878,2
121,Female,34,Moderate,Urban,145,82,312,2.1517241379310343,0.5655172413793104,0
122,Female,26,Sedentary,Suburban,75,41,239,3.1866666666666665,0.5466666666666666,0
123,Female,57,Moderate,Urban,105,102,252,2.4,0.9714285714285714,0
124,Male,29,Active,Urban,183,132,506,2.7650273224043715,0.7213114754098361,2
125,Female,26,Active,Suburban,174,88,617,3.545977011494253,0.5057471264367817,1
126,Female,47,Moderate,Suburban,116,98,335,2.8879310344827585,0.8448275862068966,0
127,Female,23,Sedentary,Suburban,89,82,330,3.707865168539326,0.9213483146067416,0
128,Female,42,Active,Urban,176,135,823,4.676136363636363,0.7670454545454546,1
129,Female,45,Active,Rural,198,131,440,2.2222222222222223,0.6616161616161617,2
130,Female,27,Moderate,Rural,130,127,627,4.823076923076923,0.9769230769230769,1
131,Female,58,Sedentary,Urban,87,57,281,3.2298850574712645,0.6551724137931034,0
132,Male,45,Sedentary,Urban,89,44,444,4.98876404494382,0.4943820224719101,2
133,Male,46,Moderate,Suburban,114,89,412,3.6140350877192984,0.7807017543859649,2
134,Male,53,Active,Suburban,197,193,682,3.4619289340101522,0.9796954314720813,1
135,Male,28,Moderate,Rural,128,121,481,3.7578125,0.9453125,2
136,Male,38,Moderate,Rural,107,63,490,4.579439252336448,0.5887850467289719,2
137,Male,55,Moderate,Rural,102,76,481,4.715686274509804,0.7450980392156863,2
138,Female,43,Active,Suburban,154,95,316,2.051948051948052,0.6168831168831169,0
139,Male,35,Active,Suburban,173,124,583,3.3699421965317917,0.7167630057803468,1
140,Male,21,Moderate,Urban,147,122,611,4.156462585034014,0.8299319727891157,1
141,Male,58,Sedentary,Suburban,91,65,219,2.4065934065934065,0.7142857142857143,0
142,Male,32,Moderate,Rural,134,125,364,2.716417910447761,0.9328358208955224,2
143,Female,40,Active,Urban,192,112,830,4.322916666666667,0.5833333333333334,1
144,Female,58,Sedentary,Suburban,72,39,297,4.125,0.5416666666666666,0
145,Female,23,Sedentary,Rural,79,67,191,2.4177215189873418,0.8481012658227848,0
146,Female,24,Active,Suburban,159,98,789,4.962264150943396,0.6163522012578616,1
147,Male,32,Active,Urban,183,103,452,2.469945355191257,0.5628415300546448,2
148,Female,26,Moderate,Suburban,109,75,518,4.752293577981652,0.6880733944954128,2
149,Male,47,Active,Rural,163,162,537,3.294478527607362,0.9938650306748467,2
150,Female,45,Sedentary,Urban,77,45,158,2.051948051948052,0.5844155844155844,0
151,Male,47,Moderate,Rural,120,79,447,3.725,0.6583333333333333,2
152,Male,25,Moderate,Urban,119,109,582,4.890756302521009,0.9159663865546218,2
153,Female,52,Sedentary,Suburban,85,51,337,3.9647058823529413,0.6,0
154,Female,52,Active,Suburban,165,85,595,3.606060606060606,0.5151515151515151,1
155,Female,43,Moderate,Rural,147,92,581,3.9523809523809526,0.6258503401360545,2
156,Female,47,Sedentary,Suburban,51,35,121,2.372549019607843,0.6862745098039216,0
157,Female,52,Sedentary,Urban,72,48,178,2.4722222222222223,0.6666666666666666,0
158,Female,55,Sedentary,Suburban,66,42,169,2.5606060606060606,0.6363636363636364,0
159,Female,28,Active,Suburban,163,112,379,2.3251533742331287,0.6871165644171779,2
160,Male,37,Active,Suburban,182,147,900,4.945054945054945,0.8076923076923077,1
161,Female,48,Active,Suburban,163,125,753,4.619631901840491,0.7668711656441718,1
162,Male,51,Active,Suburban,187,128,717,3.834224598930481,0.6844919786096256,1
163,Male,29,Sedentary,Suburban,90,83,346,3.8444444444444446,0.9222222222222223,0
164,Female,45,Moderate,Suburban,112,57,347,3.0982142857142856,0.5089285714285714,0
165,Male,20,Sedentary,Suburban,64,57,239,3.734375,0.890625,0
166,Female,59,Moderate,Rural,101,74,270,2.6732673267326734,0.7326732673267327,0
167,Male,22,Moderate,Rural,133,70,564,4.2406015037593985,0.5263157894736842,2
168,Female,30,Moderate,Suburban,107,101,435,4.065420560747664,0.9439252336448598,2
169,Female,29,Active,Rural,186,160,826,4.440860215053763,0.8602150537634409,1
170,Female,18,Sedentary,Suburban,75,68,246,3.28,0.9066666666666666,0
171,Female,36,Moderate,Suburban,123,110,432,3.5121951219512195,0.8943089430894309,2
172,Female,46,Sedentary,Suburban,50,40,137,2.74,0.8,0
173,Male,56,Active,Rural,187,113,524,2.802139037433155,0.6042780748663101,2
174,Female,59,Moderate,Urban,145,140,544,3.7517241379310344,0.9655172413793104,2
175,Female,42,Active,Suburban,179,128,439,2.452513966480447,0.7150837988826816,2
176,Male,33,Active,Suburban,155,145,735,4.741935483870968,0.9354838709677419,1
177,Female,34,Sedentary,Urban,67,45,252,3.7611940298507465,0.6716417910447762,0
178,Male,45,Moderate,Rural,119,96,514,4.319327731092437,0.8067226890756303,2
179,Female,56,Active,Urban,153,152,643,4.2026143790849675,0.9934640522875817,1
180,Male,22,Sedentary,Suburban,62,43,222,3.5806451612903225,0.6935483870967742,0
181,Female,18,Moderate,Urban,137,107,684,4.992700729927007,0.781021897810219,1
182,Female,20,Moderate,Suburban,125,73,443,3.544,0.584,2
183,Male,41,Active,Rural,192,115,694,3.6145833333333335,0.5989583333333334,1
184,Male,46,Active,Rural,159,150,485,3.050314465408805,0.9433962264150944,2
